,Código do componente,Nome do componente,Link do componente,Docente,Horário,Local da aula,Carga horária,Tamanho da turma
4724,FCE0294,FISIOTERAPIA NA ATENÇÃO DE MÉDIA COMPLEXIDADE: INTERVENÇÃO,,CLARISSA CARDOSO DOS SANTOS COUTO PAZ,Sexta-feira 08:00 às 11:50  , UAC A1 48/50 e exercícios terapêutico (UEP),10h,17
4725,FCE0294,FISIOTERAPIA NA ATENÇÃO DE MÉDIA COMPLEXIDADE: INTERVENÇÃO,,SERGIO RICARDO THOMAZ,Sexta-feira 08:00 às 11:50  , UAC A1 48/50 e exercícios terapêutico (UEP),10h,17
4726,FCE0294,FISIOTERAPIA NA ATENÇÃO DE MÉDIA COMPLEXIDADE: INTERVENÇÃO,,CLARISSA CARDOSO DOS SANTOS COUTO PAZ,Sexta-feira 08:00 às 09:50Sexta-feira 14:00 às 15:50  , UAC A1 48/50 e exercícios terapêutico (UEP),19h,17
4727,FCE0294,FISIOTERAPIA NA ATENÇÃO DE MÉDIA COMPLEXIDADE: INTERVENÇÃO,,KEYLA DE PAULA BARBOSA,Sexta-feira 08:00 às 09:50Sexta-feira 14:00 às 15:50  , UAC A1 48/50 e exercícios terapêutico (UEP),19h,17
4728,FCE0294,FISIOTERAPIA NA ATENÇÃO DE MÉDIA COMPLEXIDADE: INTERVENÇÃO,,SERGIO RICARDO THOMAZ,Sexta-feira 08:00 às 09:50Sexta-feira 14:00 às 15:50  , UAC A1 48/50 e exercícios terapêutico (UEP),22h,17
4729,FCE0294,FISIOTERAPIA NA ATENÇÃO DE MÉDIA COMPLEXIDADE: INTERVENÇÃO,,KEYLA DE PAULA BARBOSA,Sexta-feira 08:00 às 09:50Sexta-feira 12:00 às 13:50  , UAC A1 48/50 e exercícios terapêutico (UEP),10h,16
4730,FCE0294,FISIOTERAPIA NA ATENÇÃO DE MÉDIA COMPLEXIDADE: INTERVENÇÃO,,SERGIO RICARDO THOMAZ,Sexta-feira 08:00 às 09:50Sexta-feira 12:00 às 13:50  , UAC A1 48/50 e exercícios terapêutico (UEP),10h,16
4731,FCE0294,FISIOTERAPIA NA ATENÇÃO DE MÉDIA COMPLEXIDADE: INTERVENÇÃO,,CLARISSA CARDOSO DOS SANTOS COUTO PAZ,Sexta-feira 08:00 às 09:50Sexta-feira 12:00 às 13:50  , UAC A1 48/50 e exercícios terapêutico (UEP),10h,16
4732,FCE0295,FISIOTERAPIA NA ATENÇÃO DE ALTA COMPLEXIDADE: INTERVENÇÃO,,GRAZIELLA FRANCA BERNARDELLI CIPRIANO,Quarta-feira 08:00 às 11:50  , UAC A1 48/50 e laboratório de Hab Terapêuticas UAC,13h,17
4733,FCE0295,FISIOTERAPIA NA ATENÇÃO DE ALTA COMPLEXIDADE: INTERVENÇÃO,,LEONARDO PETRUS DA SILVA PAZ,Quarta-feira 08:00 às 11:50  , UAC A1 48/50 e laboratório de Hab Terapêuticas UAC,11h,17
4734,FCE0295,FISIOTERAPIA NA ATENÇÃO DE ALTA COMPLEXIDADE: INTERVENÇÃO,,WAGNER RODRIGUES MARTINS,Quarta-feira 08:00 às 11:50  , UAC A1 48/50 e laboratório de Hab Terapêuticas UAC,10h,17
4735,FCE0295,FISIOTERAPIA NA ATENÇÃO DE ALTA COMPLEXIDADE: INTERVENÇÃO,,GERSON CIPRIANO JUNIOR,Quarta-feira 08:00 às 11:50  , UAC A1 48/50 e laboratório de Hab Terapêuticas UAC,5h,17
4736,FCE0295,FISIOTERAPIA NA ATENÇÃO DE ALTA COMPLEXIDADE: INTERVENÇÃO,,GERSON CIPRIANO JUNIOR,Quarta-feira 08:00 às 09:50Quarta-feira 14:00 às 15:50  , UAC A1 48/50 e laboratório de Hab Terapêuticas UAC,11h,17
4737,FCE0295,FISIOTERAPIA NA ATENÇÃO DE ALTA COMPLEXIDADE: INTERVENÇÃO,,LEONARDO PETRUS DA SILVA PAZ,Quarta-feira 08:00 às 09:50Quarta-feira 14:00 às 15:50  , UAC A1 48/50 e laboratório de Hab Terapêuticas UAC,10h,17
4738,FCE0295,FISIOTERAPIA NA ATENÇÃO DE ALTA COMPLEXIDADE: INTERVENÇÃO,,WAGNER RODRIGUES MARTINS,Quarta-feira 08:00 às 09:50Quarta-feira 14:00 às 15:50  , UAC A1 48/50 e laboratório de Hab Terapêuticas UAC,10h,17
4739,FCE0295,FISIOTERAPIA NA ATENÇÃO DE ALTA COMPLEXIDADE: INTERVENÇÃO,,GRAZIELLA FRANCA BERNARDELLI CIPRIANO,Quarta-feira 08:00 às 09:50Quarta-feira 14:00 às 15:50  , UAC A1 48/50 e laboratório de Hab Terapêuticas UAC,13h,17
4740,FCE0295,FISIOTERAPIA NA ATENÇÃO DE ALTA COMPLEXIDADE: INTERVENÇÃO,,GRAZIELLA FRANCA BERNARDELLI CIPRIANO,Quarta-feira 08:00 às 09:50Quarta-feira 12:00 às 13:50  , UAC A1 48/50 e laboratório de Hab Terapêuticas UAC,13h,16
4741,FCE0295,FISIOTERAPIA NA ATENÇÃO DE ALTA COMPLEXIDADE: INTERVENÇÃO,,LEONARDO PETRUS DA SILVA PAZ,Quarta-feira 08:00 às 09:50Quarta-feira 12:00 às 13:50  , UAC A1 48/50 e laboratório de Hab Terapêuticas UAC,10h,16
4742,FCE0295,FISIOTERAPIA NA ATENÇÃO DE ALTA COMPLEXIDADE: INTERVENÇÃO,,WAGNER RODRIGUES MARTINS,Quarta-feira 08:00 às 09:50Quarta-feira 12:00 às 13:50  , UAC A1 48/50 e laboratório de Hab Terapêuticas UAC,10h,16
4743,FCE0295,FISIOTERAPIA NA ATENÇÃO DE ALTA COMPLEXIDADE: INTERVENÇÃO,,GERSON CIPRIANO JUNIOR,Quarta-feira 08:00 às 09:50Quarta-feira 12:00 às 13:50  , UAC A1 48/50 e laboratório de Hab Terapêuticas UAC,11h,16
4744,FCE0296,EXERCÍCIO PROFISSIONAL E DEONTOLOGIA EM FISIOTERAPIA,,DANIELLE BRASIL BARROS DA SILVA,Terça-feira 08:00 às 09:50  , A1 48/50,30h,50
4745,FCE0297,GESTÃO DE SERVIÇOS E RECURSOS HUMANOS EM FISIOTERAPIA,,LEONARDO PETRUS DA SILVA PAZ,Segunda-feira 14:00 às 15:50  , FCE - UAC A1 42/10,15h,60
4746,FCE0297,GESTÃO DE SERVIÇOS E RECURSOS HUMANOS EM FISIOTERAPIA,,JULIANA MARTINS PINTO,Segunda-feira 14:00 às 15:50  , FCE - UAC A1 42/10,15h,60
4747,FCE0298,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: AVALIAÇÃO,,ANA CLARA BONINI ROCHA,Sexta-feira 10:00 às 11:50  , UAC A1 42/43 e Lab. de Habilidades Terapêuticas,8h,17
4748,FCE0298,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: AVALIAÇÃO,,FERNANDA PASINATO,Sexta-feira 10:00 às 11:50  , UAC A1 42/43 e Lab. de Habilidades Terapêuticas,6h,17
4749,FCE0298,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: AVALIAÇÃO,,VERA REGINA FERNANDES DA SILVA MARAES,Sexta-feira 10:00 às 11:50  , UAC A1 42/43 e Lab. de Habilidades Terapêuticas,6h,17
4750,FCE0298,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: AVALIAÇÃO,,KEYLA DE PAULA BARBOSA,Sexta-feira 10:00 às 11:50  , UAC A1 42/43 e Lab. de Habilidades Terapêuticas,6h,17
4751,FCE0298,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: AVALIAÇÃO,,LUISIANE DE AVILA SANTANA,Sexta-feira 10:00 às 11:50  , UAC A1 42/43 e Lab. de Habilidades Terapêuticas,4h,17
4752,FCE0298,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: AVALIAÇÃO,,FERNANDA PASINATO,Sexta-feira 14:00 às 15:50  , UAC A1 42/43 e Lab. de Habilidades Terapêuticas,6h,17
4753,FCE0298,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: AVALIAÇÃO,,KEYLA DE PAULA BARBOSA,Sexta-feira 14:00 às 15:50  , UAC A1 42/43 e Lab. de Habilidades Terapêuticas,12h,17
4754,FCE0298,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: AVALIAÇÃO,,VERA REGINA FERNANDES DA SILVA MARAES,Sexta-feira 14:00 às 15:50  , UAC A1 42/43 e Lab. de Habilidades Terapêuticas,6h,17
4755,FCE0298,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: AVALIAÇÃO,,LUISIANE DE AVILA SANTANA,Sexta-feira 14:00 às 15:50  , UAC A1 42/43 e Lab. de Habilidades Terapêuticas,4h,17
4756,FCE0298,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: AVALIAÇÃO,,ANA CLARA BONINI ROCHA,Sexta-feira 14:00 às 15:50  , UAC A1 42/43 e Lab. de Habilidades Terapêuticas,8h,17
4757,FCE0298,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: AVALIAÇÃO,,ANA CLARA BONINI ROCHA,Sexta-feira 12:00 às 13:50  , UAC A1 42/43 e Lab. de Habilidades Terapêuticas,8h,16
4758,FCE0298,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: AVALIAÇÃO,,VERA REGINA FERNANDES DA SILVA MARAES,Sexta-feira 12:00 às 13:50  , UAC A1 42/43 e Lab. de Habilidades Terapêuticas,6h,16
4759,FCE0298,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: AVALIAÇÃO,,LUISIANE DE AVILA SANTANA,Sexta-feira 12:00 às 13:50  , UAC A1 42/43 e Lab. de Habilidades Terapêuticas,4h,16
4760,FCE0298,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: AVALIAÇÃO,,FERNANDA PASINATO,Sexta-feira 12:00 às 13:50  , UAC A1 42/43 e Lab. de Habilidades Terapêuticas,6h,16
4761,FCE0299,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: RECURSOS TERAPÊUTICOS,,LEONARDO PETRUS DA SILVA PAZ,Sexta-feira 08:00 às 11:50  , UAC A1 42/43 e Lab. de Reab. e Ativ. Hum (UEP),10h,17
4762,FCE0299,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: RECURSOS TERAPÊUTICOS,,VERA REGINA FERNANDES DA SILVA MARAES,Sexta-feira 08:00 às 11:50  , UAC A1 42/43 e Lab. de Reab. e Ativ. Hum (UEP),3h,17
4763,FCE0299,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: RECURSOS TERAPÊUTICOS,,SERGIO RICARDO THOMAZ,Sexta-feira 08:00 às 11:50  , UAC A1 42/43 e Lab. de Reab. e Ativ. Hum (UEP),10h,17
4764,FCE0299,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: RECURSOS TERAPÊUTICOS,,KEYLA DE PAULA BARBOSA,Sexta-feira 08:00 às 11:50  , UAC A1 42/43 e Lab. de Reab. e Ativ. Hum (UEP),4h,17
4765,FCE0299,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: RECURSOS TERAPÊUTICOS,,FERNANDA PASINATO,Sexta-feira 08:00 às 11:50  , UAC A1 42/43 e Lab. de Reab. e Ativ. Hum (UEP),5h,17
4766,FCE0299,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: RECURSOS TERAPÊUTICOS,,KEYLA DE PAULA BARBOSA,Sexta-feira 08:00 às 09:50Sexta-feira 14:00 às 15:50  , UAC A1 42/43 e Lab. de Reab. e Ativ. Hum (UEP),4h,17
4767,FCE0299,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: RECURSOS TERAPÊUTICOS,,FERNANDA PASINATO,Sexta-feira 08:00 às 09:50Sexta-feira 14:00 às 15:50  , UAC A1 42/43 e Lab. de Reab. e Ativ. Hum (UEP),12h,17
4768,FCE0299,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: RECURSOS TERAPÊUTICOS,,SERGIO RICARDO THOMAZ,Sexta-feira 08:00 às 09:50Sexta-feira 14:00 às 15:50  , UAC A1 42/43 e Lab. de Reab. e Ativ. Hum (UEP),10h,17
4769,FCE0299,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: RECURSOS TERAPÊUTICOS,,LEONARDO PETRUS DA SILVA PAZ,Sexta-feira 08:00 às 09:50Sexta-feira 14:00 às 15:50  , UAC A1 42/43 e Lab. de Reab. e Ativ. Hum (UEP),16h,17
4770,FCE0299,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: RECURSOS TERAPÊUTICOS,,VERA REGINA FERNANDES DA SILVA MARAES,Sexta-feira 08:00 às 09:50Sexta-feira 14:00 às 15:50  , UAC A1 42/43 e Lab. de Reab. e Ativ. Hum (UEP),8h,17
4771,FCE0299,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: RECURSOS TERAPÊUTICOS,,FERNANDA PASINATO,Sexta-feira 08:00 às 09:50Sexta-feira 12:00 às 13:50  , UAC A1 42/43 e Lab. de Reab. e Ativ. Hum (UEP),6h,16
4772,FCE0299,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: RECURSOS TERAPÊUTICOS,,LEONARDO PETRUS DA SILVA PAZ,Sexta-feira 08:00 às 09:50Sexta-feira 12:00 às 13:50  , UAC A1 42/43 e Lab. de Reab. e Ativ. Hum (UEP),10h,16
4773,FCE0299,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: RECURSOS TERAPÊUTICOS,,KEYLA DE PAULA BARBOSA,Sexta-feira 08:00 às 09:50Sexta-feira 12:00 às 13:50  , UAC A1 42/43 e Lab. de Reab. e Ativ. Hum (UEP),3h,16
4774,FCE0299,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: RECURSOS TERAPÊUTICOS,,SERGIO RICARDO THOMAZ,Sexta-feira 08:00 às 09:50Sexta-feira 12:00 às 13:50  , UAC A1 42/43 e Lab. de Reab. e Ativ. Hum (UEP),14h,16
4775,FCE0299,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: RECURSOS TERAPÊUTICOS,,VERA REGINA FERNANDES DA SILVA MARAES,Sexta-feira 08:00 às 09:50Sexta-feira 12:00 às 13:50  , UAC A1 42/43 e Lab. de Reab. e Ativ. Hum (UEP),5h,16
4776,FCE0300,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: INTERVENÇÃO,,GERSON CIPRIANO JUNIOR,Segunda-feira 16:00 às 17:50Terça-feira 10:00 às 11:50  , UAC A1 42/10 e Lab. de Habilidades Terapêuticas,5h,17
4777,FCE0300,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: INTERVENÇÃO,,LUISIANE DE AVILA SANTANA,Segunda-feira 16:00 às 17:50Terça-feira 10:00 às 11:50  , UAC A1 42/10 e Lab. de Habilidades Terapêuticas,10h,17
4778,FCE0300,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: INTERVENÇÃO,,FELIPE AUGUSTO DOS SANTOS MENDES,Segunda-feira 16:00 às 17:50Terça-feira 10:00 às 11:50  , UAC A1 42/10 e Lab. de Habilidades Terapêuticas,18h,17
4779,FCE0300,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: INTERVENÇÃO,,FERNANDA PASINATO,Segunda-feira 16:00 às 17:50Terça-feira 10:00 às 11:50  , UAC A1 42/10 e Lab. de Habilidades Terapêuticas,17h,17
4780,FCE0300,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: INTERVENÇÃO,,LUISIANE DE AVILA SANTANA,Segunda-feira 16:00 às 17:50Terça-feira 14:00 às 15:50  , UAC A1 42/10 e Lab. de Habilidades Terapêuticas,10h,17
4781,FCE0300,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: INTERVENÇÃO,,FELIPE AUGUSTO DOS SANTOS MENDES,Segunda-feira 16:00 às 17:50Terça-feira 14:00 às 15:50  , UAC A1 42/10 e Lab. de Habilidades Terapêuticas,10h,17
4782,FCE0300,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: INTERVENÇÃO,,FERNANDA PASINATO,Segunda-feira 16:00 às 17:50Terça-feira 14:00 às 15:50  , UAC A1 42/10 e Lab. de Habilidades Terapêuticas,10h,17
4783,FCE0300,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: INTERVENÇÃO,,GERSON CIPRIANO JUNIOR,Segunda-feira 16:00 às 17:50Terça-feira 14:00 às 15:50  , UAC A1 42/10 e Lab. de Habilidades Terapêuticas,5h,17
4784,FCE0300,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: INTERVENÇÃO,,LUISIANE DE AVILA SANTANA,Segunda-feira 16:00 às 17:50Terça-feira 12:00 às 13:50  , UAC A1 42/10 e Lab. de Habilidades Terapêuticas,10h,16
4785,FCE0300,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: INTERVENÇÃO,,GERSON CIPRIANO JUNIOR,Segunda-feira 16:00 às 17:50Terça-feira 12:00 às 13:50  , UAC A1 42/10 e Lab. de Habilidades Terapêuticas,5h,16
4786,FCE0300,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: INTERVENÇÃO,,FELIPE AUGUSTO DOS SANTOS MENDES,Segunda-feira 16:00 às 17:50Terça-feira 12:00 às 13:50  , UAC A1 42/10 e Lab. de Habilidades Terapêuticas,10h,16
4787,FCE0300,FISIOTERAPIA NO PROCESSO DE REABILITAÇÃO: INTERVENÇÃO,,FERNANDA PASINATO,Segunda-feira 16:00 às 17:50Terça-feira 12:00 às 13:50  , UAC A1 42/10 e Lab. de Habilidades Terapêuticas,10h,16
4788,FCE0301,TRABALHO DE CONCLUSÃO DE CURSO EM FISIOTERAPIA 1,,PATRICIA AZEVEDO GARCIA,Quarta-feira 10:00 às 11:50  , FCE - UAC A1 12/66,30h,50
4789,FCE0301,TRABALHO DE CONCLUSÃO DE CURSO EM FISIOTERAPIA 1,,ANA CLARA BONINI ROCHA,Segunda-feira 14:00 às 15:50  , HUB - Sala 2 Administração,30h,30
4790,FCE0303,TRABALHO DE CONCLUSÃO DE CURSO EM FISIOTERAPIA 2,,ALINE ARAUJO DO CARMO,Quinta-feira 16:00 às 17:50  , FCE - UAC A1 42/43,30h,50
4791,FCE0306,VIGILÂNCIA SANITÁRIA APLICADA A PROFISSIONAIS DE SAÚDE,,IZABEL CRISTINA RODRIGUES DA SILVA,Sexta-feira 14:00 às 15:50  , UAC A1 48/20,30h,60
4792,FCE0307,INTRODUÇÃO ÀS ANÁLISES CLÍNICAS,,EDUARDO ANTONIO FERREIRA,Terça-feira 14:00 às 17:50  , UAC A1 42/13,60h,45
4793,FCE0308,FARMACOTÉCNICA 1,,VIVIAN DA SILVA SANTOS,Quinta-feira 08:00 às 09:50Quinta-feira 14:00 às 15:50  , Teórica:UAC A1 42/13  Prática:UED AT 29/15,45h,25
4794,FCE0308,FARMACOTÉCNICA 1,,ELTON CLEMENTINO DA SILVA,Quinta-feira 08:00 às 09:50Quinta-feira 14:00 às 15:50  , Teórica:UAC A1 42/13  Prática:UED AT 29/15,15h,25
4795,FCE0308,FARMACOTÉCNICA 1,,VIVIAN DA SILVA SANTOS,Quinta-feira 10:00 às 11:50Quinta-feira 14:00 às 15:50  , Teórica:UAC A1 42/13 Prática:UED AT 29/15,45h,25
4796,FCE0308,FARMACOTÉCNICA 1,,ELTON CLEMENTINO DA SILVA,Quinta-feira 10:00 às 11:50Quinta-feira 14:00 às 15:50  , Teórica:UAC A1 42/13 Prática:UED AT 29/15,15h,25
4797,FCE0309,CONTROLE FÍSICO-QUÍMICO DA QUALIDADE,,PAULO GUSTAVO BARBONI DANTAS NASCIMENTO,Quarta-feira 08:00 às 09:50Quinta-feira 08:00 às 09:50  , UAC A1 48/20 e  UED AT08/19,60h,25
4798,FCE0309,CONTROLE FÍSICO-QUÍMICO DA QUALIDADE,,PAULO GUSTAVO BARBONI DANTAS NASCIMENTO,Quarta-feira 08:00 às 09:50Quinta-feira 10:00 às 11:50  , UAC 01 48/20 e  UED AT08/19,60h,25
4799,FCE0314,NUTRIÇÃO HUMANA EM SAÚDE,,KATARINNE LIMA MORAES,Quarta-feira 12:00 às 13:50  , A1 42/60,15h,50
4800,FCE0314,NUTRIÇÃO HUMANA EM SAÚDE,,KELB BOUSQUET SANTOS,Quarta-feira 12:00 às 13:50  , A1 42/60,15h,50
4801,FCE0316,PALPAÇÃO OSTEOMIOARTICULAR,,OSMAIR GOMES DE MACEDO,Terça-feira 08:00 às 09:50  , FCE UAC Lab. Fisioterapia Habildades Terapêuticas,30h,20
4802,FCE0317,LEITURA E ANÁLISE CRÍTICA DE ARTIGOS CIENTÍFICOS EM FISIOTERAPIA,,ALINE MARTINS DE TOLEDO,Terça-feira 08:55 às 10:55  , FCE UAC Lab. Informática A1 12/66,15h,25
4803,FCE0317,LEITURA E ANÁLISE CRÍTICA DE ARTIGOS CIENTÍFICOS EM FISIOTERAPIA,,RODRIGO LUIZ CARREGARO,Terça-feira 08:55 às 10:55  , FCE UAC Lab. Informática A1 12/66,15h,25
4804,FCE0318,TERAPIA OCUPACIONAL BASEADA EM EVIDÊNCIAS 2,,LETICIA MEDA VENDRUSCULO FANGEL,Segunda-feira 10:00 às 11:50  , AT 42/50,30h,50
4805,FCE0319,TERAPIA OCUPACIONAL NA ATENÇÃO BÁSICA: RECURSOS TERAPÊUTICOS,,CAROLINA CANGEMI GREGORUTTI,Terça-feira 08:00 às 11:50  , AT 42/30,60h,25
4806,FCE0319,TERAPIA OCUPACIONAL NA ATENÇÃO BÁSICA: RECURSOS TERAPÊUTICOS,,FLAVIA MAZITELLI DE OLIVEIRA,Terça-feira 08:00 às 11:50  , AT 42/30,60h,25
4807,FCE0320,TERAPIA OCUPACIONAL NA ATENÇÃO DE MÉDIA COMPLEXIDADE: REC TERAPÊUTICOS,,JULIANA VALERIA DE MELO,Quarta-feira 14:00 às 17:50  , Laboratório de Atividades e Recursos Terapêuticos,60h,25
4808,FCE0320,TERAPIA OCUPACIONAL NA ATENÇÃO DE MÉDIA COMPLEXIDADE: REC TERAPÊUTICOS,,ANA RITA COSTA DE SOUZA LOBO BRAGA,Quarta-feira 14:00 às 17:50  , Laboratório de Atividades e Recursos Terapêuticos,60h,25
4809,FCE0321,TERAPIA OCUPACIONAL NA ATENÇÃO DE ALTA COMPLEXIDADE: REC TERAPÊUTICOS,,LETICIA MEDA VENDRUSCULO FANGEL,Segunda-feira 14:00 às 15:50  , Laboratório de Atividades e Recursos Terapêuticos,30h,25
4810,FCE0321,TERAPIA OCUPACIONAL NA ATENÇÃO DE ALTA COMPLEXIDADE: REC TERAPÊUTICOS,,CAROLINE DE OLIVEIRA ALVES,Segunda-feira 14:00 às 15:50  , Laboratório de Atividades e Recursos Terapêuticos,30h,25
4811,FCE0322,TERAPÍA OCUPACIONAL NO PROCESSO DE REABILITAÇÃO: RECURSOS TERAPÊUTICOS,,IONEIDE DE OLIVEIRA CAMPOS,Quinta-feira 14:00 às 17:50  , Laboratório de Atividades e Recursos Terapêuticos,60h,25
4812,FCE0322,TERAPÍA OCUPACIONAL NO PROCESSO DE REABILITAÇÃO: RECURSOS TERAPÊUTICOS,,JOSENAIDE ENGRACIA DOS SANTOS,Quinta-feira 14:00 às 17:50  , Laboratório de Atividades e Recursos Terapêuticos,60h,25
4813,FCE0323,ECONOMIA DA SAÚDE,,CARLO HENRIQUE GORETTI ZANETTI,Quinta-feira 19:00 às 22:30  , Auditório 1 - Faculdade de Saúde,60h,40
4814,FCE0323,ECONOMIA DA SAÚDE,,EVERTON NUNES DA SILVA,Terça-feira 12:00 às 13:50Quinta-feira 12:00 às 13:50  , A1 - 42/60,60h,45
4815,FCE0324,DIREITO SANITÁRIO,,SILVIA BADIM MARQUES,Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50  , A1 42/10,60h,50
4816,FCE0325,EPIDEMIOLOGIA PARA A GESTÃO EM SAÚDE,,LUIZA DE MARILAC MEIRELES BARBOSA,Segunda-feira 08:00 às 11:50  , Lab. informática 1 (A1 10/62),60h,45
4817,FCE0326,PLANEJAMENTO E PROGRAMAÇÃO EM SAÚDE,,FRANCISCO ANDERSON CARVALHO DE LIMA,Terça-feira 18:00 às 19:50Quinta-feira 18:00 às 19:50  , A1-42/33,60h,50
4818,FCE0329,MECANISMOS DE AGRESSÃO E DEFESA 3 - PRÁTICA,,CARLA NUNES DE ARAUJO,Terça-feira 14:00 às 15:50  , LAB. MULTID. 1,15h,25
4819,FCE0329,MECANISMOS DE AGRESSÃO E DEFESA 3 - PRÁTICA,,PATRICIA ALBUQUERQUE DE ANDRADE NICOLA,Terça-feira 14:00 às 15:50  , LAB. MULTID. 1,15h,25
4820,FCE0329,MECANISMOS DE AGRESSÃO E DEFESA 3 - PRÁTICA,,PATRICIA ALBUQUERQUE DE ANDRADE NICOLA,Terça-feira 16:00 às 17:50  , LAB. MULTID. 1,15h,25
4821,FCE0329,MECANISMOS DE AGRESSÃO E DEFESA 3 - PRÁTICA,,CARLA NUNES DE ARAUJO,Terça-feira 16:00 às 17:50  , LAB. MULTID. 1,15h,25
4822,FCE0329,MECANISMOS DE AGRESSÃO E DEFESA 3 - PRÁTICA,,CARLA NUNES DE ARAUJO,Sexta-feira 14:00 às 15:50  , LAB. MULTID. 1,15h,25
4823,FCE0329,MECANISMOS DE AGRESSÃO E DEFESA 3 - PRÁTICA,,PATRICIA ALBUQUERQUE DE ANDRADE NICOLA,Sexta-feira 14:00 às 15:50  , LAB. MULTID. 1,15h,25
4824,FCE0329,MECANISMOS DE AGRESSÃO E DEFESA 3 - PRÁTICA,,CARLA NUNES DE ARAUJO,Sexta-feira 16:00 às 17:50  , LAB. MULTID. 1,15h,25
4825,FCE0329,MECANISMOS DE AGRESSÃO E DEFESA 3 - PRÁTICA,,PATRICIA ALBUQUERQUE DE ANDRADE NICOLA,Sexta-feira 16:00 às 17:50  , LAB. MULTID. 1,15h,25
4826,FCE0330,PENSAMENTO SOCIAL EM SAÚDE,,MIGUEL ANGELO MONTAGNER,Terça-feira 10:00 às 13:50  , UAC A1 - 42/10,30h,60
4827,FCE0330,PENSAMENTO SOCIAL EM SAÚDE,,MARIA INEZ MONTAGNER,Terça-feira 10:00 às 13:50  , UAC A1 - 42/10,30h,60
4828,FCE0331,SEMINÁRIO INTEGRATIVO 6,,MARCOS TAKASHI OBARA,Sábado 08:00 às 09:50  , A DEFINIR,30h,55
4829,FCE0331,SEMINÁRIO INTEGRATIVO 6,,FLAVIA MAZITELLI DE OLIVEIRA,Sábado 16:00 às 17:50  , A DEFINIR,30h,55
4830,FCE0332,MONITORAMENTO E AVALIAÇÃO DE POLÍTICAS PÚBLICAS DE SAÚDE,,JOSE ANTONIO ITURRI DE LA MATA,Quarta-feira 16:00 às 17:50Sexta-feira 16:00 às 17:50  , A1 42/33,60h,45
4831,FCE0334,ESTÁGIO SUPERVISIONADO EM SAÚDE COLETIVA 1,,FLAVIA REIS DE ANDRADE,Segunda-feira 08:00 às 11:50Quarta-feira 08:00 às 11:50Sexta-feira 08:00 às 09:50  , presencial,150h,15
4832,FCE0334,ESTÁGIO SUPERVISIONADO EM SAÚDE COLETIVA 1,,MARIA INEZ MONTAGNER,Segunda-feira 08:00 às 11:50Quarta-feira 08:00 às 11:50Sexta-feira 08:00 às 09:50  , a definir,75h,15
4833,FCE0334,ESTÁGIO SUPERVISIONADO EM SAÚDE COLETIVA 1,,LARISSA GRANDI VAITSMAN BASTOS,Segunda-feira 08:00 às 11:50Quarta-feira 08:00 às 11:50Sexta-feira 08:00 às 09:50  , a definir,75h,15
4834,FCE0336,ECONOMIA E FINANCIAMENTO EM SAÚDE,,EVERTON NUNES DA SILVA,Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50  , A1 42/33,60h,45
